"cohortId","atlasId","cohortName","startDay","endDay"
1,15039,"[COVID v1] Persons with hypertension",-9999,-1
2,15040,"[Covid v1] Persons with heart disease",-9999,-1
3,15041,"[covid v1] Persons with kidney disease",-9999,-1
4,15042,"[Covid v1] Persons with diabetes",-9999,-1
5,15043,"[Covid v1] Persons with hyperlipidemia",-9999,-1
6,15044,"[Covid v1] Persons with COPD",-9999,-1
7,15045,"[Covid v1] persons with cancer",-9999,-1
8,15297,"[Covid v1] respiratory failure or insufficency",-9999,-1
9,15305,"[Covid v1] persons with liver failure and Ascites",-9999,-1
10,15306,"[Covid v1] persons with pressure or skin ulcer",-9999,-1
11,15039,"[COVID v1] Persons with hypertension",-30,-1
12,15040,"[Covid v1] Persons with heart disease",-30,-1
13,15041,"[covid v1] Persons with kidney disease",-30,-1
14,15042,"[Covid v1] Persons with diabetes",-30,-1
15,15043,"[Covid v1] Persons with hyperlipidemia",-30,-1
16,15044,"[Covid v1] Persons with COPD",-30,-1
17,15045,"[Covid v1] persons with cancer",-30,-1
18,15297,"[Covid v1] persons with respiratory failure or insufficency",-30,-1
19,15305,"[Covid v1] persons with liver failure and Ascites",-30,-1
20,15306,"[Covid v1] persons with pressure or skin ulcer",-30,-1
