"covariateName","covariateId","points"
"Intercept",0,-7
"custom ATLAS variable during day -9999 through -1 days relative to index: [COVID v1] Persons with hypertension",3456,-1
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] Persons with heart disease",4456,1
"custom ATLAS variable during day -9999 through -1 days relative to index: [covid v1] Persons with kidney disease",5456,0
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] Persons with diabetes",6456,-1
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] Persons with hyperlipidemia",7456,-2
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] Persons with COPD",8456,0
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with cancer",9456,3
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with respiratory failure or insufficency", 10456,-3
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with liver failure and Ascites",11456,3
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with pressure or skin ulcer",12456,1
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with inpatient or ER visit",13456,5
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with anemia",14456,2
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with dementia",15456,1
"custom ATLAS variable during day -9999 through -1 days relative to index: [Covid v1] persons with coronary artery disease",16456,0
"age group: 15-19",3003,-23
"age group: 20-24",4003,-18
"age group: 25-29",5003,-14
"age group: 30-34",6003,-13
"age group: 35-39",7003,-11
"age group: 40-44",8003,-10
"age group: 45-49",9003,-9
"age group: 50-54",10003,-8
"age group: 55-59",11003,-7
"age group: 60-64",12003,-5
"age group: 65-69",13003,-2
"age group: 70-74",14003,0
"age group: 75-79",15003,2
"age group: 80-84",16003,4
"age group: 85-89",17003,8
"gender: MALE",8507001,1
